itemLabel,birthplaceLabel,birthdate,coord,deathplaceLabel,praenomenLabel,gensLabel,cognomenLabel,fatherLabel,motherLabel
Lucius Aurelius Cotta,Rome,-0200-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2257059825,Lucius,Aurelia gens,,Lucius Aurelius Cotta,t2257059821
Quintus Titurius Sabinus,ancient Rome,-0050-01-01T00:00:00Z,Point(12.48 41.89),Gaul,Quintus,Tituria gens,Sabinus,t2119186578,t2119186579
Titus Verginius Tricostus Rutilus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119186816,Titus,Verginia gens,Rutilus,t2119186829,t2119186786
Titus Verginius Tricostus Rutilus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119186816,Titus,Verginia gens,Tricostus,t2119186829,t2119186786
Servius Sulpicius Galba,ancient Rome,-0094-01-01T00:00:00Z,Point(12.48 41.89),t2256153181,Servius,Sulpicia gens,Galba,Servius Sulpicius Galba,t2256153178
Peter of Rates,Portugal,0500-01-01T00:00:00Z,Point(-9.183333333 38.7),Braga,,,,,
Spurius Postumius Albinus,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2164104748,Spurius,Postumia gens,,Spurius Postumius Albinus Magnus,t2164104794
Spurius Postumius Albinus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),Rome,Spurius,Postumia gens,,Lucius Postumius Albinus,t2119186785
Marcus Atilius Regulus,Rome,-0301-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Marcus,Atilia gens,Regulus,Marcus Atilius Regulus Calenus,t2127003280
Quintus Mucius Scaevola,ancient Rome,,Point(12.48 41.89),Rome,Quintus,Mucia gens,,t2163708295,t2163708291
Quintus Fulvius Flaccus,Rome,-0300-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Quintus,Fulvia gens,,Quintus Fulvius Flaccus,t2119187054
Qunitus Fabius Maximus Servilianus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),Rome,Quintus,Fabia gens,Maximus,Gnaeus Servilius Caepio,t2119187010
Marcus Junius Silanus,Rome,-0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Marcus,Junia gens,Silanus,Decimus Junius Silanus,Servilia
Marcus Junius Silanus,Rome,-0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Marcus,Junia gens,Silanus,Marcus Junius Silanus,Servilia
Ursus of Ravenna,Sicily,0350-01-01T00:00:00Z,Point(14.015377777 37.599958333),Ravenna,,,,,
Quintus Minucius Thermus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),Thrace,Quintus,Minucia gens,,t2255460520,t2255460519
Saint Pammachius,Rome,0340-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,,,,
Publius Aelius Paetus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119187209,Publius,Aelia gens,Paetus,Quintus Aelius Paetus,t2119187206
Gnaeus Cornelius Lentulus,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2228275865,Gnaeus,Cornelia gens,,Gnaeus Cornelius Lentulus,t2228275872
Polycrates of Ephesus,Ephesus,0125-01-01T00:00:00Z,Point(27.348611 37.939722),,,,,,
Gaius Terentius Istra,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2124972611,Gaius,Terentia gens,,t2124972612,t2124972613
Gaius Terentius Istra,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2124972611,Lucius,Terentia gens,,t2124972612,t2124972613
Gnaeus Cornelius Lentulus,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),Rome,Gnaeus,Cornelia gens,,Gnaeus Cornelius Lentulus,t2254165609
Gaius Fulvius Plautianus,Leptis Magna,0150-01-01T00:00:00Z,Point(14.290555555 32.639166666),Rome,Gaius,Fulvia gens,,,
Lucius Cornelius Lentulus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),Rome,Lucius,Cornelia gens,Lentulus,Lucius Cornelius Lentulus Caudinus,t2236418512
Marcus Titius,ancient Rome,-0050-01-01T00:00:00Z,Point(12.48 41.89),t2261708813,Marcus,Titia gens,,t2261708807,t2261708812
Marcus Baebius Tamphilus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119187349,Marcus,Baebia gens,,Quintus Baebius Tamphilus,t2119187378
Tiberius Claudius Pompeianus,Antioch on the Orontes,0125-01-01T00:00:00Z,Point(36.181666666 36.204722222),Rome,Tiberius,Claudia gens,,,
Gaius Atilius Regulus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),Q3654612,Gaius,Atilia gens,Regulus,Marcus Atilius Regulus,t2126995760
Lucius Cassius Hemina,Rome,-0150-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Lucius,Cassia gens,,t2218308472,t2218308471
Pontius Aquila,ancient Rome,-0050-01-01T00:00:00Z,Point(12.48 41.89),Q11786862,Lucius,Pontia gens,,t2249691433,t2249691435
Lucius Quinctius Flamininus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2264178731,Lucius,Quinctia gens,Flamininus,t2264178732,t2264178733
Nemesianus,Carthage,0300-01-01T00:00:00Z,Point(10.323461 36.852558),,Marcus,Aurelia gens,,,
Eugenia of Rome,Rome,0180-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,,,,
Manius Aquillius,Rome,-0101-01-01T00:00:00Z,Point(12.482777777 41.893055555),Pergamon,Manius,Aquillia gens,,Manius Aquillius,t2247809224
Marcus Tullius Decula,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2119187507,Marcus,Tullia gens,,t2119187514,t2119187513
Lucius Octavius,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2239486684,Lucius,Octavia gens,,Gnaeus Octavius,t2239486688
Fabius Valens,Anagni,0035-01-01T00:00:00Z,Point(13.15 41.75),Urbino,,Fabia gens,,,
Oribasius,Pergamon,0325-01-01T00:00:00Z,Point(27.183333 39.116667),,,,,,
Marcus Cornelius Cethegus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119187600,Marcus,Cornelia gens,,t2119187594,t2119187607
Lucius Plautius Venno,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164138600,Lucius,Plautia gens,,t2164138598,t2164138602
Lucius Cornelius Cinna,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2164120730,Lucius,Cornelia gens,,Lucius Cornelius Cinna,Annia
Saint Nicomedes,ancient Rome,0100-01-01T00:00:00Z,Point(12.48 41.89),Rome,,,,,
Marcus Sergius Esquilinus,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2124922518,Marcus,Sergia gens,Esquilinus,t2124922519,t2124922525
Gaius Norbanus Flaccus,Rome,-0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Gaius,,,Gaius Norbanus Flaccus,
Lucius Flavius Silva,Urbisaglia,0040-01-01T00:00:00Z,Point(13.377338888 43.197261111),Rome,Lucius,Nonia gens,,,
Lucius Aebutius Elva,ancient Rome,t2099112266,Point(12.48 41.89),Rome,Lucius,Aebutia gens,Helva,Titus Aebutius Helva,t2099112237
Spurius Oppius Cornicen,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),Rome,Spurius,Oppia gens,,t2119178085,t2119178088
Pompeia,ancient Rome,-0101-01-01T00:00:00Z,Point(12.48 41.89),t2165827168,,Pompeia gens,,Sextus Pompeius,Lucilia
Lucius Papirius Crassus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146063,Lucius,Papiria gens,,t2164146066,t2164146064
Lucius Cornelius Lentulus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2228283466,Lucius,Cornelia gens,Lentulus,Gnaeus Cornelius Lentulus,t2228283462
Publius Licinius Crassus Dives,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2259515306,Publius,Licinia gens,,Marcus Licinius Crassus Agelastus,t2259515304
Gaius Veturius Crassus Cicurinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164145171,Gaius,Veturia gens,Cicurinus,t2164145174,t2164145173
Gaius Veturius Crassus Cicurinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164145171,Gaius,Veturia gens,Crassus,t2164145174,t2164145173
Appius Claudius Crassus,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2124924412,Appius,Claudia gens,Crassus,Appius Claudius Crassus,t2124924409
Publius Sulpicius Galba Maximus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119178410,Publius,Sulpicia gens,Maximus,t2119178385,t2119178391
Publius Sulpicius Galba Maximus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119178410,Publius,Sulpicia gens,Galba,t2119178385,t2119178391
Quintus Vitellius,Nuceria Alfaterna,0001-01-01T00:00:00Z,Point(14.633333333 40.75),,Quintus,,,Publius Vitellius the Elder,
Severus Sanctus Endelechius,Gaul,0400-01-01T00:00:00Z,Point(2.9 46.5),,,,,,
Manius Rabuleius,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2121075856,Manius,Rabuleia gens,,t2121075853,t2121075849
Vitellius Germanicus,Rome,0062-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,,,,Vitellius,Galeria Fundana
Lucius Cornelius Cinna,ancient Rome,-0076-01-01T00:00:00Z,Point(12.48 41.89),t2258452858,Lucius,Cornelia gens,Cinna,Lucius Cornelius Cinna,t2258452861
Felix of Nola,Nola,,Point(14.533333333 40.933333333),Nola,,,,,
Festus,Trento,0390-01-01T00:00:00Z,Point(11.11666667 46.06666667),Ephesus,,,Festus,Avienus,
Lucius Postumius Albinus Regillensis,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2128989136,Lucius,Postumia gens,Albinus,t2128989135,t2128989134
Lucius Postumius Albinus Regillensis,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2128989136,Lucius,Postumia gens,Regillensis,t2128989135,t2128989134
Gaius Plautius Proculus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2164139545,Gaius,Plautia gens,,t2164139543,t2164139544
Publius Plautius Proculus,Rome,-0350-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2128988974,Publius,Plautia gens,,t2128988976,t2128988972
Lucius Papirius Crassus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164144784,Lucius,Papiria gens,Crassus,t2164144796,t2164144788
Amafinius,ancient Rome,t2179121614,Point(12.48 41.89),t2179121620,Gaius,Amafinia gens,,t2179121613,t2179121615
Titus Genucius Augurinus,Rome,-0500-01-01T00:00:00Z,Point(12.482777777 41.893055555),ancient Rome,Titus,Genucia gens,,t2237057588,t2237057590
Quintus Fabius Ambustus,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2150577790,Quintus,Fabia gens,Ambustus,Marcus Fabius Vibulanus,t2150577794
Aulus Postumius Tubertus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2083503665,Aulus,Postumia gens,Tubertus,t2083503668,t2083503659
Gaius Bellicius Flaccus Torquatus,Vienne,0050-01-01T00:00:00Z,Point(4.874722222 45.525555555),,Gaius,Bellicia gens,Flaccus,Gaius Bellicius Flaccus Torquatus Tebanianus,
Gaius Bellicius Flaccus Torquatus,Vienne,0050-01-01T00:00:00Z,Point(4.874722222 45.525555555),,Gaius,Bellicia gens,Torquatus,Gaius Bellicius Flaccus Torquatus Tebanianus,
Eucherius of Lyon,Lyon,0380-01-01T00:00:00Z,Point(4.841388888 45.758888888),Lyon,,,,,
Quintus Marcius Tremulus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2251666227,Quintus,Marcia gens,,t2251666220,t2251666219
Manius Acilius Glabrio,ancient Rome,0100-01-01T00:00:00Z,Point(12.48 41.89),t2184341096,Manius,Acilia gens,,Acilius Glabrio,t2184341094
Publius Cornelius Scipio Asiaticus,Rome,0041-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Publius,Cornelia gens,,Publius Cornelius Lentulus Scipio,Poppaea Sabina the Elder
Gaius Sulpicius Gallus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2123210060,Gaius,Sulpicia gens,,t2123210064,t2123210062
Gnaeus Gellius,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2226283991,Gnaeus,Gellia gens,,t2226283996,t2226283993
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Memmia gens,Macrinus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Quinctia gens,Macrinus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Statia gens,Macrinus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Caesernia  gens,Macrinus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Memmia gens,Statianus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Quinctia gens,Statianus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Statia gens,Statianus,Titus Caesernius Macedo,
Titus Caesernius Statianus,Aquileia,0150-01-01T00:00:00Z,Point(13.366666666 45.766666666),,Titus,Caesernia  gens,Statianus,Titus Caesernius Macedo,
Spurius Postumius Albus Regillensis,ancient Rome,t2110220389,Point(12.48 41.89),Rome,Spurius,Postumia gens,Regillensis,Aulus Postumius Albus Regillensis,t2110220397
Spurius Postumius Albus Regillensis,ancient Rome,t2110220389,Point(12.48 41.89),Rome,Spurius,Postumia gens,Albus,Aulus Postumius Albus Regillensis,t2110220397
Lucius Vorenus,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2119178736,Lucius,Vorena  gens,,t2119178762,t2119178755
Gaius Plautius Venox Hypsaeus,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164137415,Gaius,Plautia gens,,t2164137436,t2164137420
Quintus Quinctius Cincinnatus,Rome,-0450-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2251543838,Quintus,Quinctia gens,Cincinnatus,t2251543837,t2251543833
Caius Valerius Potitus Flacus,Rome,-0400-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119178911,Gaius,Valeria gens,,Gaius Valerius Potitus,t2119178913
Gaius Poetelius Libo Visolus,Rome,-0350-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2164139380,Gaius,Poetelia gens,,Caius Poetelius Libo Visolus,t2164139379
Lucius Licinius Sura,Barcelona,0040-01-01T00:00:00Z,Point(2.176944444 41.3825),Rome,Lucius,Licinia gens,,,
Julius Obsequens,Rome,0400-01-01T00:00:00Z,Point(12.482777777 41.893055555),,,Julia gens,,,
Lucius Pinarius Mamercinus Rufus,ancient Rome,-0550-01-01T00:00:00Z,Point(12.48 41.89),t2164147863,Lucius,Pinaria gens,Rufus,t2164147862,t2164147854
Lucius Pinarius Mamercinus Rufus,ancient Rome,-0550-01-01T00:00:00Z,Point(12.48 41.89),t2164147863,Lucius,Pinaria gens,Mamercinus,t2164147862,t2164147854
Mesomedes of Crete,Crete,0001-01-01T00:00:00Z,Point(24.893333333 35.309722222),,,,,,
Spurius Furius Medullinus Fusus,ancient Rome,-0600-01-01T00:00:00Z,Point(12.48 41.89),t2151615849,Spurius,Furia gens,,t2151615844,t2151615850
Titus Verginius Tricostus Caeliomontanus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119179072,Titus,Verginia gens,Caeliomontanus,t2119179020,t2119179044
Titus Verginius Tricostus Caeliomontanus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2119179072,Titus,Verginia gens,Tricostus,t2119179020,t2119179044
Marcus Papirius Crassus,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164138227,Marcus,Papiria gens,,Lucius Papirius Crassus,t2164138228
Marcus Cornelius Maluginensis,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146169,Marcus,Cornelia gens,,t2164146176,t2164146168
Lucius Licinius Lucullus,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),Rome,Lucius,Licinia gens,,Gaius Licinius Lucullus,t2255822801
Spurius Servilius Priscus,ancient Rome,-0600-01-01T00:00:00Z,Point(12.48 41.89),t2255974045,Spurius,Servilia gens,Structus,Publius Servilius Priscus Structus,t2255974040
Spurius Servilius Priscus,ancient Rome,-0600-01-01T00:00:00Z,Point(12.48 41.89),t2255974045,Spurius,Servilia gens,Priscus,Publius Servilius Priscus Structus,t2255974040
Marcus Livius Drusus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),Rome,Marcus,Livia gens,Drusus,Gaius Livius Drusus,t2228362736
Lucius Caecilius Metellus Calvus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2228210100,Lucius,Caecilia gens,Calvus,Quintus Caecilius Metellus,t2228210095
Lucius Caecilius Metellus Calvus,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2228210100,Lucius,Caecilia gens,Metellus,Quintus Caecilius Metellus,t2228210095
Lucius Caecilius Metellus Dalmaticus,ancient Rome,-0160-01-01T00:00:00Z,Point(12.48 41.89),t2228218806,Lucius,Caecilia gens,Metellus,Lucius Caecilius Metellus Calvus,t2228218804
Marcus Livius Salinator,ancient Rome,-0253-01-01T00:00:00Z,Point(12.48 41.89),t2251149318,Marcus,Livia gens,,t2251149320,t2251149317
Lucius Coelius Antipater,Rome,-0179-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2261113577,Lucius,Coelia gens,,t2261113580,t2261113578
Quintus Caecilius Metellus Nepos Iunior,ancient Rome,-0099-01-01T00:00:00Z,Point(12.48 41.89),t2251687498,Quintus,Caecilia gens,Nepos,Quintus Caecilius Metellus Nepos,t2251687501
Quintus Caecilius Metellus Nepos Iunior,ancient Rome,-0099-01-01T00:00:00Z,Point(12.48 41.89),t2251687498,Quintus,Caecilia gens,Metellus,Quintus Caecilius Metellus Nepos,t2251687501
Lucius Verginius Rufus,Como,0014-01-01T00:00:00Z,Point(9.086138888 45.81025),Rome,Lucius,Verginia gens,,,
Isaac of Dalmatia,Syria,0400-01-01T00:00:00Z,Point(38.583333 35.216667),Constantinople,,,,,
Gaius Norbanus,Rome,-0200-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rhodes,Gaius,Norbana gens,Balbus,t2249669206,t2249669212
Lucius Porcius Cato,ancient Rome,-0200-01-01T00:00:00Z,Point(12.48 41.89),t2126737079,Lucius,Porcia gens,Cato,Marcus Porcius Cato Salonianus,t2126737080
Gaius Sosius,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2229157910,Gaius,Sosia gens,,t2229157911,t2229157909
Rutilius Claudius Namatianus,Gaul,0400-01-01T00:00:00Z,Point(2.9 46.5),,t2254636884,Rutilia gens,Namatianus,,
Theon of Smyrna,İzmir,0070-01-01T00:00:00Z,Point(27.13838 38.41273),,,,,,
Saint Pudens,Rome,0100-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,t2232483308,t2232483303,Pudens,,
Gaius Laelius,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119179669,Gaius,Laelia gens,,t2119179644,t2119179630
Marinus of Tyre,Tyre,0100-01-01T00:00:00Z,Point(35.2 33.266666666),Rome,,,,,
Marcus Valerius Laevinus,ancient Rome,-0259-01-01T00:00:00Z,Point(12.48 41.89),Rome,Marcus,Valeria gens,Laevinus,t2119179675,t2119179636
Numenius of Apamea,Apamea,0200-01-01T00:00:00Z,Point(36.398 35.418),Apamea,,,,,
Lucius Valerius Flaccus,ancient Rome,-0139-01-01T00:00:00Z,Point(12.48 41.89),Nicomedia,Lucius,Valeria gens,Flaccus,Lucius Valerius Flaccus,t2119179674
Lucius Marcius Philippus,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2190512380,Lucius,Marcia gens,,Lucius Marcius Philippus,t2190512384
Gaius Marius Victorinus,Africa,0290-01-01T00:00:00Z,Point(12.74 31.8),Rome,Gaius,Maria gens,,,
Gnaeus Domitius Ahenobarbus,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2127688209,Gnaeus,Domitia gens,Ahenobarbus,t2127688214,t2127688215
Lucius Cornelius Scipio,ancient Rome,-0305-01-01T00:00:00Z,Point(12.48 41.89),t2242463421,Lucius,Cornelia gens,,Lucius Cornelius Scipio Barbatus,t2242463418
Lucius Licinius Murena,ancient Rome,-0104-01-01T00:00:00Z,Point(12.48 41.89),t2259425550,Lucius,Licinia gens,Murena,Lucius Licinius Murena,t2259425548
Faustus Cornelius Sulla,Greece,-0087-01-01T00:00:00Z,Point(23.0 38.5),Thapsus,Faustus,Cornelia gens,Sulla,Sulla,Caecilia Metella Dalmatica
Marcus Fabius Ambustus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164145095,Marcus,Fabia gens,,Numerius Fabius Ambustus,t2164145096
Evodius,Antioch on the Orontes,0050-01-01T00:00:00Z,Point(36.181666666 36.204722222),Antioch on the Orontes,,,,,
Lucius Cornelius Sisenna,ancient Rome,-0123-01-01T00:00:00Z,Point(12.48 41.89),Crete,Lucius,Cornelia gens,,t2230190746,t2230190748
Lucius Cornelius Sisenna,ancient Rome,-0119-01-01T00:00:00Z,Point(12.48 41.89),Crete,Lucius,Cornelia gens,,t2230190746,t2230190748
Marcus Aemilius Lepidus,Rome,-0300-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Marcus,Aemilia gens,,Marcus Aemilius Lepidus,t2217735327
Saint Titos,Crete,0013-01-01T00:00:00Z,Point(24.893333333 35.309722222),Gortyn,Titus,,,,
Apollinaris of Ravenna,Antioch on the Orontes,0101-01-01T00:00:00Z,Point(36.181666666 36.204722222),Ravenna,,,,,
Quintus Hortensius,Rome,-0113-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Quintus,Hortensia gens,,t2223908266,t2223908264
Ablabius Illustrius,Galatia,0400-01-01T00:00:00Z,Point(32.983333 39.266667),t2182098368,t2182098365,t2182098367,,,
Lucius Julius Libo,ancient Rome,t2099588645,Point(12.48 41.89),t2099588644,Lucius,Julia gens,Libo,Lucius Julius,t2099588636
Decimus Junius Pera,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2124868540,Decimus,Junia gens,,t2124868544,t2124868545
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Marcus,Julia gens,Caesar,Augustus,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Agrippa,Julia gens,Caesar,Augustus,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Marcus,Julia gens,Agrippa,Augustus,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Agrippa,Julia gens,Agrippa,Augustus,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Marcus,Julia gens,Caesar,Marcus Vipsanius Agrippa,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Agrippa,Julia gens,Caesar,Marcus Vipsanius Agrippa,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Marcus,Julia gens,Agrippa,Marcus Vipsanius Agrippa,Julia the Elder
Agrippa Postumus,Rome,-0011-06-24T00:00:00Z,Point(12.482777777 41.893055555),Pianosa,Agrippa,Julia gens,Agrippa,Marcus Vipsanius Agrippa,Julia the Elder
Gaius Suetonius Paulinus,Pesaro,0010-01-01T00:00:00Z,Point(12.9133 43.91015),,Gaius,,,,
Quintus Antistius Labeo,ancient Rome,-0089-01-01T00:00:00Z,Point(12.48 41.89),Philippi,Pacuvius,Antistia gens,Labeo,t2263146488,t2263146489
Antistius Sosianus,ancient Rome,0050-01-01T00:00:00Z,Point(12.48 41.89),t2263080650,t2263080653,Antistia gens,Sosianus,t2263080647,t2263080648
Gaius Aufidius Victorinus,Pesaro,0200-01-01T00:00:00Z,Point(12.9133 43.91015),,Gaius,Aufidia gens,,,
Lucius Cornelius Sulla,Rome,-0050-01-01T00:00:00Z,Point(12.482777777 41.893055555),,Lucius,Cornelia gens,,Publius Cornelius Sulla,
Quintus Fabius Labeo,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),Rome,Quintus,Fabia gens,,t2272636675,t2272636674
Sextus Quintilius Maximus,Alexandria Troas,0150-01-01T00:00:00Z,Point(26.15861111 39.75194444),Rome,Sextus,,,Sextus Quintilius Condianus,
Saint Quentin,Rome,0200-01-01T00:00:00Z,Point(12.482777777 41.893055555),Saint-Quentin,,,,,
Faltonia Betitia Proba,Orte,0322-01-01T00:00:00Z,Point(12.386111111 42.460277777),Rome,,,,Petronius Probianus,
Gaius Marcius Coriolanus,ancient Rome,,Point(12.48 41.89),Anzio,Gaius,Marcia gens,Coriolanus,t2246961149,Veturia
Marcus Valerius Maximus Potitus,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164139087,Marcus,Valeria gens,,t2164139081,t2164139083
Decimus Junius Brutus Scaeva,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),Rome,Decimus,Junia gens,,t2164170693,t2164170695
Marcus Sergius,ancient Rome,-0300-01-01T00:00:00Z,Point(12.48 41.89),t2119202994,Marcus,Sergia gens,,t2119203000,t2119202998
Adrian of Nicomedia,Nicomedia,0300-01-01T00:00:00Z,Point(29.9175 40.7625),Nicomedia,,,,,
Paullus Aemilius Lepidus,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2251512981,Lucius,Aemilia gens,,Lucius Aemilius Lepidus Paullus,t2251512983
Paullus Aemilius Lepidus,ancient Rome,-0100-01-01T00:00:00Z,Point(12.48 41.89),t2251512981,Paullus,Aemilia gens,,Lucius Aemilius Lepidus Paullus,t2251512983
Lucius Cassius Longinus,Rome,-0050-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Lucius,Cassia gens,,,
Publius Sestius,Rome,-0050-01-01T00:00:00Z,Point(12.482777777 41.893055555),Rome,Publius,Sestia gens,,t2119194309,t2119194320
Lucius Pinarius Natta,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2164139756,Lucius,Pinaria gens,,t2164139753,t2164139754
Lucius Julius Graecinus,ancient Rome,0039-01-01T00:00:00Z,Point(12.48 41.89),t2125322095,Lucius,Julia gens,,t2125322093,t2125322096
Lucius Veturius Crassus Cicurinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146915,Lucius,Veturia gens,,t2164146909,t2164146905
